route_id,service_id,trip_id,direction_id,trip_headsign,block_id,shape_id,wheelchair_accessible,bikes_allowed
112,224,15854_0_0,0,Залізничний вокзал (191),15854,133,0,0
112,224,15854_0_1,1,Кавалерідзе (426),15854,134,0,0
112,224,15854_1_0,0,Залізничний вокзал (191),15854,133,0,0
112,224,15854_1_1,1,Кавалерідзе (426),15854,134,0,0
112,224,15854_2_0,0,Залізничний вокзал (191),15854,133,0,0
112,224,15854_2_1,1,Кавалерідзе (426),15854,134,0,0
112,224,15854_3_0,0,Залізничний вокзал (191),15854,133,0,0
112,224,15854_3_1,1,Кавалерідзе (426),15854,134,0,0
112,224,15854_4_0,0,Залізничний вокзал (191),15854,133,0,0
112,224,15854_4_1,1,Кавалерідзе (426),15854,134,0,0
112,224,15854_5_0,0,Залізничний вокзал (191),15854,133,0,0
112,224,15854_5_1,1,Кавалерідзе (426),15854,134,0,0
112,224,15854_6_0,0,Залізничний вокзал (191),15854,133,0,0
112,224,15855_0_0,0,Залізничний вокзал (191),15855,133,0,0
112,224,15855_0_1,1,Кавалерідзе (426),15855,134,0,0
112,224,15855_1_0,0,Залізничний вокзал (191),15855,133,0,0
112,224,15855_1_1,1,Кавалерідзе (426),15855,134,0,0
112,224,15855_2_0,0,Залізничний вокзал (191),15855,133,0,0
112,224,15855_2_1,1,Кавалерідзе (426),15855,134,0,0
112,224,15855_3_0,0,Залізничний вокзал (191),15855,133,0,0
112,224,15855_3_1,1,Кавалерідзе (426),15855,134,0,0
112,224,15855_4_0,0,Залізничний вокзал (191),15855,133,0,0
112,224,15855_4_1,1,Кавалерідзе (426),15855,134,0,0
112,224,15855_5_0,0,Залізничний вокзал (191),15855,133,0,0
112,224,15855_5_1,1,Кавалерідзе (426),15855,134,0,0
112,224,15855_6_0,0,Залізничний вокзал (191),15855,133,0,0
112,224,15856_0_0,0,Залізничний вокзал (191),15856,133,0,0
112,224,15856_0_1,1,Кавалерідзе (426),15856,134,0,0
112,224,15856_1_0,0,Залізничний вокзал (191),15856,133,0,0
112,224,15856_1_1,1,Кавалерідзе (426),15856,134,0,0
112,224,15856_2_0,0,Залізничний вокзал (191),15856,133,0,0
112,224,15856_2_1,1,Кавалерідзе (426),15856,134,0,0
112,224,15856_3_0,0,Залізничний вокзал (191),15856,133,0,0
112,224,15856_3_1,1,Кавалерідзе (426),15856,134,0,0
112,224,15856_4_0,0,Залізничний вокзал (191),15856,133,0,0
112,224,15856_4_1,1,Кавалерідзе (426),15856,134,0,0
112,224,15856_5_0,0,Залізничний вокзал (191),15856,133,0,0
